Soil Moisture,Temperature,Time,Wind speed (Km/h),Air humidity (%),rainfall,Soil Type,Crop Type,Irrigation_Needed
54,22,21,2.13,55.04,202.9355362,1,2,0
12,20,104,2.01,55.17,226.6555374,0,2,0
34,26,62,1.9,55.3,263.9642476,1,1,1
7,44,93,2.28,54.2,242.8640342,1,3,1
50,38,92,2.66,53.09,262.7173405,0,0,0
4,26,6,2.51,51.91,251.0549998,0,0,1
15,34,82,2.36,50.72,271.3248604,1,3,1
45,30,85,2.21,49.54,241.9741949,1,1,0
47,4,2,2.46,47.7,230.4462359,0,1,0
19,41,0,2.71,45.86,221.2091958,3,1,1
63,44,75,2.8,44.76,264.6148697,0,0,0
88,34,71,2.89,43.67,250.0832336,1,2,0
39,20,82,3.0,42.56,284.4364567,1,1,0
65,43,93,3.11,41.44,185.2773389,1,0,0
50,27,4,3.5,41.58,209.5869708,0,0,0
39,22,80,3.9,41.71,231.0863347,1,2,1
18,33,74,4.74,40.34,276.6552459,3,3,1
66,43,64,5.58,38.96,206.2611855,2,3,0
68,25,3,5.74,37.33,224.5550169,3,1,0
20,36,74,5.89,35.69,291.2986618,0,1,1
40,17,70,6.04,34.06,185.4974732,1,2,0
2,34,101,6.2,32.42,231.3843163,0,1,1
22,35,109,6.06,31.07,213.3560921,2,2,1
1,19,56,5.93,29.72,233.1075816,0,0,0
5,23,4,5.8,28.38,224.0581164,1,1,1
10,28,75,5.66,27.03,257.0038865,2,0,1
25,13,50,7.11,26.62,271.3586137,2,4,0
20,45,83,8.56,26.22,260.2634026,1,2,1
40,29,98,8.89,25.72,240.0810647,1,4,0
26,13,71,9.21,25.21,197.9791215,1,1,0
71,6,88,8.76,25.8,272.2017204,0,0,0
37,21,22,8.32,26.39,200.0882787,3,1,1
76,12,51,8.61,25.53,224.6757231,0,4,0
44,24,82,8.9,24.67,270.4417274,0,1,0
24,8,38,8.22,24.32,233.1321372,3,3,0
70,6,90,7.53,23.96,193.3473987,1,4,0
32,23,84,7.7,23.81,272.2999056,1,1,1
44,24,77,7.87,23.66,285.2493645,3,0,0
4,45,32,8.04,23.5,298.4018471,3,1,1
63,40,89,8.21,23.35,257.0343554,0,0,0
49,29,4,8.33,23.09,248.7183228,2,3,0
26,32,73,8.46,22.84,209.9001977,3,1,1
58,32,91,8.58,22.58,200.834898,0,3,0
45,0,87,8.7,22.32,298.5601175,2,4,0
37,7,76,7.26,22.58,265.5355937,1,0,0
16,44,93,5.82,22.83,183.6793207,1,4,1
75,2,96,5.31,23.4,196.9560008,0,0,0
82,16,33,4.8,23.97,233.0453455,0,3,0
72,28,92,4.28,24.54,210.8142087,3,2,0
53,1,32,3.77,25.11,253.7202781,1,1,0
13,24,17,3.73,26.29,219.9048349,0,3,1
41,18,86,3.69,27.47,208.5810155,1,0,0
53,2,64,3.44,27.99,195.0948311,1,0,0
76,14,58,3.18,28.51,227.3637009,3,0,0
9,36,96,3.87,28.64,286.5083725,2,0,1
66,1,106,4.56,28.77,283.9338466,3,1,0
12,16,94,4.86,29.56,217.3788583,0,4,0
29,10,50,5.16,30.36,267.9761948,3,2,0
37,34,2,4.45,31.01,191.9535738,3,1,1
8,28,10,3.74,31.66,277.9626192,1,0,1
55,1,37,3.55,31.96,245.1511304,3,1,0
9,1,101,3.35,32.25,245.6626799,0,3,0
41,27,63,4.05,31.86,279.5451717,2,0,0
31,8,43,4.75,31.47,202.3838319,3,2,0
80,38,12,4.7,30.63,263.6372176,3,0,0
7,27,107,4.64,29.79,182.5616319,2,2,1
13,4,23,4.39,29.64,198.6730942,0,2,0
42,18,39,4.14,29.5,243.5120414,0,4,0
72,21,63,4.35,29.16,263.1103304,3,4,0
21,33,5,4.57,28.81,269.5039162,1,1,1
14,4,28,4.78,28.47,204.8001847,3,1,0
16,19,40,4.28,28.2,260.8875056,2,2,0
11,9,104,3.78,27.92,295.6094492,2,0,0
7,17,17,3.28,27.65,192.3197536,2,3,0
56,3,90,2.78,27.38,257.4914906,3,3,0
42,19,11,2.01,27.66,278.0791793,3,0,0
78,41,62,1.25,27.93,280.4044392,0,0,0
16,37,48,1.41,28.11,185.9461429,1,4,1
87,14,86,1.57,28.29,194.5766559,3,3,0
22,22,94,1.6,27.32,200.9133156,0,2,1
77,41,89,1.62,26.36,182.9043504,3,1,0
45,31,15,2.07,25.4,195.3574542,0,4,0
84,39,21,2.52,24.45,223.3671883,0,3,0
12,3,34,2.4,23.14,186.7536773,1,0,0
17,40,5,2.27,21.83,220.1156708,3,3,1
12,35,1,2.78,21.06,231.7364957,0,2,1
6,40,92,3.29,20.29,242.3170629,2,4,1
21,4,39,3.01,20.58,182.6549356,2,0,0
71,41,11,2.73,20.88,233.7034975,2,2,0
17,27,15,2.82,21.33,230.2242223,1,1,1
67,24,79,2.9,21.78,290.6793783,0,4,0
34,24,84,2.98,22.22,241.2013513,1,2,1
68,13,105,3.07,22.67,218.9163567,3,2,0
52,3,0,3.0,22.7,248.2256491,3,0,0
80,18,59,2.92,22.74,256.9964761,0,1,0
11,11,7,3.24,22.42,194.2651719,2,2,0
63,27,22,3.57,22.11,295.9248796,0,4,0
88,43,86,3.55,22.04,287.5766935,0,2,0
79,21,71,3.53,21.97,183.6222657,0,3,0
2,37,28,3.66,21.44,188.413665,1,4,1
49,33,72,3.78,20.9,87.75953857,3,4,0
64,27,94,3.43,20.58,102.2662445,0,2,0
71,36,68,3.08,20.27,66.71995467,0,0,0
51,27,89,3.42,19.5,60.65171481,0,4,0
67,26,25,3.77,18.73,65.43835393,1,3,0
12,0,2,4.12,17.96,102.0861694,1,0,0
67,3,95,4.46,17.2,105.4654703,1,0,0
54,31,88,4.81,16.43,78.06639649,0,0,0
49,33,86,5.15,15.66,65.27798457,2,4,0
24,29,36,6.86,14.2,109.2162279,2,0,1
27,18,21,8.57,12.75,94.29712821,2,2,0
50,35,18,8.46,12.24,74.05474936,3,0,0
51,26,4,8.36,11.74,63.87020584,0,3,0
38,26,16,8.43,11.29,94.76189431,2,1,1
23,45,106,8.5,10.84,72.12375573,2,3,1
27,29,88,8.72,10.43,63.72358154,2,4,1
72,39,87,8.95,10.02,104.1626147,0,0,0
89,19,18,8.94,9.84,76.68456006,2,0,0
36,28,36,8.94,9.65,65.49730729,2,2,1
4,5,63,8.9,9.33,84.23613484,0,0,0
21,37,32,8.86,9.01,79.74078719,3,3,1
8,37,103,8.82,8.7,88.07753741,1,4,1
5,27,22,8.78,8.38,80.97573281,2,1,1
1,10,67,8.74,8.06,79.7532896,1,0,0
2,40,36,8.7,7.74,74.51490791,3,1,1
63,35,106,10.6,7.15,96.46380213,3,0,0
17,39,18,12.51,6.56,102.8301942,2,4,1
33,19,103,11.78,6.36,102.4852929,0,3,0
21,6,74,11.06,6.17,70.43473609,3,4,0
84,29,41,11.19,5.97,108.8303762,1,1,0
35,28,73,11.32,5.77,65.88951188,1,0,1
81,4,21,11.14,5.66,90.988051,1,1,0
44,41,6,10.96,5.56,64.40866039,1,3,0
53,6,73,11.99,5.48,63.03843397,3,4,0
25,18,21,13.02,5.41,87.9298085,2,1,0
22,28,40,12.66,5.28,107.4931917,2,1,1
57,44,25,12.29,5.14,60.95197486,1,3,0
15,25,57,12.45,5.13,109.7515385,2,0,1
33,23,93,12.61,5.12,91.76337172,1,1,1
20,25,28,11.92,4.88,94.26249353,1,3,1
52,13,105,11.23,4.64,71.07562236,0,0,0
47,2,80,11.58,4.66,76.72860067,3,0,0
63,40,25,11.92,4.69,69.21803098,3,4,0
48,11,69,12.36,4.48,101.7004306,1,3,0
15,34,57,12.81,4.28,106.6213157,3,0,1
87,37,52,13.26,4.07,66.29390357,2,4,0
30,27,28,13.7,3.86,91.26056654,1,2,1
89,31,3,13.06,3.92,109.024141,0,3,0
28,1,71,12.43,3.97,99.57981207,2,2,0
87,1,32,11.76,3.88,71.3195307,0,0,0
41,23,5,11.09,3.8,78.34604471,0,3,0
58,42,21,10.94,3.72,88.45361858,3,4,0
73,10,21,10.8,3.65,62.50351892,3,0,0
